name,lon,lat
N71W1675,-167.5,71.0
N71W170,-170.0,71.0
N71W1725,-172.5,71.0
N70W1375,-137.5,70.0
N7025W141,-141.0,70.25
N705W1635,-163.5,70.5
N70W165,-165.0,70.0
N70W1675,-167.5,70.0
N70W170,-170.0,70.0
N70W1725,-172.5,70.0
N6925W16475,-164.75,69.25
N69W1675,-167.5,69.0
N69W170,-170.0,69.0
N69W1725,-172.5,69.0
N68W1675,-167.5,68.0
N68W170,-170.0,68.0
N68W1725,-172.5,68.0
N6710W165,-165.0,67.1
N67W1675,-167.5,67.0
N67W170,-170.0,67.0
N663W1683,-168.3,66.3
N647W16775,-167.75,64.7
N65W169,-169.0,65.0
N653W1704,-170.4,65.3
N654W1715,-171.15,64.4
N64W1675,-167.5,64.0
N638W1689,-168.9,63.8
N644W170,-170.0,64.4
N628W1663,-166.3,62.8
N628W1683,-168.3,62.8
N63W171,-171.0,63.0
N63W173,-173.0,63.0
N63W175,-175.0,63.0
N634W1734,-173.4,63.4
N62W167,-167.0,62.0
N62W169,-169.0,62.0
N62W171,-171.0,62.0
N62W173,-173.0,62.0
N62W175,-175.0,62.0
N61W167,-167.0,61.0
N61W169,-169.0,61.0
N61W167,-167.0,61.0
N61W169,-169.0,61.0
N61W171,-171.0,61.0
N612W173,-173.0,61.2
N61W175,-175.0,61.0
N61W177,-177.0,61.0
N597W165,-165.0,59.7
N596W167,-167.0,59.6
N60W169,-169.0,60.0
N60W171,-171.0,60.0
N5975W173,-173.0,59.75
N60W175,-175.0,60.0
N60W177,-177.0,60.0
N60W179,-179.0,60.0
N593W163,-163.0,59.3
N59W165,-165.0,59.0
N59W167,-167.0,59.0
N59W169,-169.0,59.0
N59W171,-171.0,59.0
N59W175,-175.0,59.0
N59W177,-177.0,59.0
N59W179,-179.0,59.0
N58W163,-163.0,58.0
N58W165,-165.0,58.0
N58W167,-167.0,58.0
N58W169,-169.0,58.0
N58W171,-171.0,58.0
N59W173,-173.0,59.0
N58W159,-159.0,58.0
N58W161,-161.0,58.0
N58W163,-163.0,58.0
N58W165,-165.0,58.0
N58W173,-173.0,58.0
N58W175,-175.0,58.0
N58W177,-177.0,58.0
N58W179,-179.0,58.0
N57W161,-161.0,57.0
N57W163,-163.0,57.0
N57W165,-165.0,57.0
N57W167,-167.0,57.0
N57W1687,-168.7,57.0
N57W1717,-171.7,57.0
N57W173,-173.0,57.0
N57W175,-175.0,57.0
N57W177,-177.0,57.0
N56W163,-163.0,56.0
N56W165,-165.0,56.0
N56W167,-167.0,56.0
N56W169,-169.0,56.0
N56W171,-171.0,56.0
N56W173,-173.0,56.0
N56W175,-175.0,56.0
N55W165,-165.0,55.0
N55W167,-167.0,55.0
N55W169,-169.0,55.0
N55W171,-171.0,55.0
